,Serial No.,gre_score,TOEFL Score,University Rating,SOP,LOR ,cgpa,research,Chance of Admit
0,210,301,104,3,3.5,4.0,8.12,1,0.68
1,281,311,102,3,4.5,4.0,8.64,1,0.68
2,34,340,114,5,4.0,4.0,9.6,1,0.9
3,211,325,108,4,4.5,4.0,9.06,1,0.79
4,94,301,97,2,3.0,3.0,7.88,1,0.44
5,85,340,115,5,4.5,4.5,9.45,1,0.94
6,330,297,96,2,2.5,1.5,7.89,0,0.43
7,95,303,99,3,2.0,2.5,7.66,0,0.36
8,267,312,105,2,2.0,2.5,8.45,0,0.72
9,127,323,113,3,4.0,3.0,9.32,1,0.85
10,10,323,108,3,3.5,3.0,8.6,0,0.45
11,362,334,116,4,4.0,3.5,9.54,1,0.93
12,57,316,102,3,2.0,3.0,7.4,0,0.64
13,73,321,111,5,5.0,5.0,9.45,1,0.93
14,133,309,105,5,3.5,3.5,8.56,0,0.71
15,43,313,107,2,2.5,2.0,8.5,1,0.53
16,279,308,103,2,3.0,3.5,8.49,0,0.66
17,377,297,96,2,2.5,2.0,7.43,0,0.34
18,232,319,106,3,3.5,2.5,8.33,1,0.74
19,386,335,117,5,5.0,5.0,9.82,1,0.96
20,78,301,99,2,3.0,2.0,8.22,0,0.64
21,16,314,105,3,3.5,2.5,8.3,0,0.54
22,392,318,106,3,2.0,3.0,8.65,0,0.71
23,272,299,96,2,1.5,2.0,7.86,0,0.54
24,1,337,118,4,4.5,4.5,9.65,1,0.92
25,397,325,107,3,3.0,3.5,9.11,1,0.84
26,115,311,105,3,3.5,3.0,8.45,1,0.59
27,226,296,99,2,2.5,2.5,8.03,0,0.61
28,263,308,103,2,2.5,4.0,8.36,1,0.7
29,105,326,112,3,3.5,3.0,9.05,1,0.74
30,396,324,110,3,3.5,3.5,9.04,1,0.82
31,194,336,118,5,4.5,5.0,9.53,1,0.94
32,262,312,104,3,3.5,4.0,8.09,0,0.71
33,58,298,99,2,4.0,2.0,7.6,0,0.46
34,233,312,107,2,2.5,3.5,8.27,0,0.69
35,117,299,102,3,4.0,3.5,8.62,0,0.56
36,114,320,110,2,4.0,3.5,8.56,0,0.72
37,343,308,106,3,3.0,3.0,8.24,0,0.58
38,159,306,106,2,2.0,2.5,8.14,0,0.61
39,142,332,118,2,4.5,3.5,9.36,1,0.9
40,382,319,105,3,3.0,3.5,8.67,1,0.73
41,56,320,103,3,3.0,3.0,7.7,0,0.64
42,77,327,112,3,3.0,3.0,8.72,1,0.74
43,26,340,120,5,4.5,4.5,9.6,1,0.94
44,83,320,110,5,5.0,4.5,9.22,1,0.92
45,383,324,110,4,4.5,4.0,9.15,1,0.82
46,149,339,116,4,4.0,3.5,9.8,1,0.96
47,182,305,107,2,2.5,2.5,8.42,0,0.71
48,23,328,116,5,5.0,5.0,9.5,1,0.94
49,174,323,113,4,4.0,4.5,9.23,1,0.89
50,47,329,114,5,4.0,5.0,9.3,1,0.86
51,322,323,104,3,4.0,4.0,8.44,1,0.73
52,339,323,108,5,4.0,4.0,8.74,1,0.81
53,71,332,118,5,5.0,5.0,9.64,1,0.94
54,375,315,105,2,2.0,2.5,7.65,0,0.39
55,40,307,108,2,4.0,3.5,7.7,0,0.48
56,224,308,109,2,3.0,4.0,8.45,0,0.71
57,173,322,110,4,4.0,5.0,9.13,1,0.86
58,31,300,97,2,3.0,3.0,8.1,1,0.65
59,153,321,112,5,5.0,5.0,9.06,1,0.86
60,125,301,106,4,2.5,3.0,8.47,0,0.57
61,295,316,101,2,2.5,2.0,8.32,1,0.61
62,256,307,110,4,4.0,4.5,8.37,0,0.79
63,79,296,95,2,3.0,2.0,7.54,1,0.44
64,102,312,105,2,2.5,3.0,8.12,0,0.64
65,32,327,103,3,4.0,4.0,8.3,1,0.74
66,353,303,100,2,3.0,3.5,8.06,1,0.64
67,269,327,113,4,4.5,5.0,9.14,0,0.83
68,395,329,111,4,4.5,4.0,9.23,1,0.89
69,74,314,108,4,4.5,4.0,9.04,1,0.84
70,321,317,106,3,4.0,3.5,8.5,1,0.75
71,141,329,110,2,4.0,3.0,9.15,1,0.84
72,6,330,115,5,4.5,3.0,9.34,1,0.9
73,46,322,110,5,5.0,4.0,9.1,1,0.88
74,389,296,97,2,1.5,2.0,7.8,0,0.49
75,247,316,105,3,3.0,3.5,8.73,0,0.72
76,228,312,110,2,3.5,3.0,8.53,0,0.64
77,370,301,98,1,2.0,3.0,8.03,1,0.67
78,177,329,119,4,4.5,4.5,9.16,1,0.9
79,290,313,109,3,4.0,3.5,9.0,0,0.79
80,4,322,110,3,3.5,2.5,8.67,1,0.8
81,19,318,110,3,4.0,3.0,8.8,0,0.63
82,203,340,120,5,4.5,4.5,9.91,1,0.97
83,251,320,104,3,3.0,2.5,8.57,1,0.74
84,275,315,100,1,2.0,2.5,7.95,0,0.58
85,64,315,107,2,4.0,3.0,8.5,1,0.56
86,249,324,110,3,3.5,4.0,8.87,1,0.8
87,302,319,108,2,2.5,3.0,8.76,0,0.66
88,109,331,116,5,5.0,5.0,9.38,1,0.93
89,91,318,106,2,4.0,4.0,7.92,1,0.64
90,234,304,100,2,2.5,3.5,8.07,0,0.64
91,336,325,111,4,4.0,4.5,9.11,1,0.83
92,119,296,99,2,3.0,3.5,7.28,0,0.47
93,221,313,103,3,4.0,4.0,8.75,0,0.76
94,181,300,104,3,3.5,3.0,8.16,0,0.71
95,315,305,105,2,3.0,4.0,8.13,0,0.66
96,374,321,109,3,3.0,3.0,8.54,1,0.79
97,381,322,104,3,3.5,4.0,8.84,1,0.78
98,240,299,100,1,1.5,2.0,7.89,0,0.59
99,76,329,114,2,2.0,4.0,8.56,1,0.72
100,248,311,104,2,2.5,3.5,8.48,0,0.71
101,111,305,108,5,3.0,3.0,8.48,0,0.61
102,17,317,107,3,4.0,3.0,8.7,0,0.66
103,67,327,114,3,3.0,3.0,9.02,0,0.61
104,154,324,105,3,3.0,4.0,8.75,0,0.79
105,8,308,101,2,3.0,4.0,7.9,0,0.68
106,20,303,102,3,3.5,3.0,8.5,0,0.62
107,138,316,100,2,1.5,3.0,8.16,1,0.71
108,356,317,106,2,2.0,3.5,8.12,0,0.73
109,350,313,101,3,2.5,3.0,8.04,0,0.62
110,132,303,105,5,5.0,4.5,8.65,0,0.77
111,388,307,105,2,2.0,3.5,8.1,0,0.53
112,293,302,99,2,1.0,2.0,7.97,0,0.56
113,387,302,101,2,2.5,3.5,7.96,0,0.46
114,298,320,120,3,4.0,4.5,9.11,0,0.86
115,61,309,100,2,3.0,3.0,8.1,0,0.48
116,80,294,93,1,1.5,2.0,7.36,0,0.46
117,286,331,116,5,4.0,4.0,9.26,1,0.93
118,306,321,109,3,3.5,3.5,8.8,1,0.74
119,282,317,110,3,4.0,4.5,9.11,1,0.8
120,158,309,104,2,2.0,2.5,8.26,0,0.65
121,110,304,103,5,5.0,4.0,8.64,0,0.68
122,18,319,106,3,4.0,3.0,8.0,1,0.65
123,348,299,94,1,1.0,1.0,7.34,0,0.42
124,25,336,119,5,4.0,3.5,9.8,1,0.97
125,176,320,111,4,4.5,3.5,8.87,1,0.85
126,352,325,110,4,3.5,4.0,8.67,1,0.73
127,333,308,106,3,3.5,2.5,8.21,1,0.75
128,168,313,102,3,2.0,3.0,8.27,0,0.64
129,246,328,110,4,4.0,2.5,9.02,1,0.81
130,312,328,108,4,4.5,4.0,9.18,1,0.84
131,146,320,113,2,2.0,2.5,8.64,1,0.81
132,259,326,102,4,5.0,5.0,8.76,1,0.77
133,178,319,110,3,3.5,3.5,9.04,0,0.82
134,120,327,104,5,3.0,3.5,8.84,1,0.71
135,195,316,109,3,3.5,3.0,8.76,0,0.77
136,230,324,111,4,3.0,3.0,9.01,1,0.82
137,266,313,102,3,2.5,2.5,8.68,0,0.71
138,219,324,110,4,3.0,3.5,8.97,1,0.84
