,city_fuel_economy,mileage,passenger_car,price,franchise_make
235137,27.0,16434.0,0,20575.0,1
4231,26.0,30562.0,0,24998.0,1
215294,28.0,38513.0,1,22940.0,1
92987,28.0,29080.0,1,16756.0,1
282297,28.0,377.0,1,23484.0,1
16079,32.0,5931.0,1,18999.0,1
194151,32.0,127.0,1,24318.0,1
138194,22.0,11939.0,0,26980.0,1
51171,13.0,29372.0,0,39796.0,1
90672,27.0,41999.0,0,18859.0,1
2591,17.0,28411.0,0,41999.0,1
75810,26.0,35000.0,0,26975.0,1
137164,16.0,14084.0,0,72450.0,1
194656,24.0,28849.0,1,14999.0,1
260694,29.0,29001.0,1,21495.0,1
61645,19.0,28010.0,1,27987.0,1
274337,21.0,18528.0,0,37988.0,1
166916,28.0,31106.0,1,15848.0,1
96805,19.0,8381.0,0,37988.0,1
96562,28.0,38538.0,1,19988.0,1
222898,28.0,37356.0,1,14599.0,1
52390,15.0,17109.0,0,42838.0,1
44777,19.0,13787.0,0,25991.0,1
267636,28.0,32351.0,1,16399.0,1
149699,28.0,41298.0,1,17650.0,1
63837,28.0,32073.0,1,21000.0,1
85640,28.0,37405.0,1,16995.0,1
143251,29.0,21466.0,1,13947.0,1
116100,25.0,2015.0,0,31700.0,1
9897,29.0,42738.0,1,16991.0,1
191695,29.0,34757.0,1,15197.0,1
273218,26.0,21772.0,1,16888.0,1
144348,25.0,24929.0,0,18710.0,1
54129,21.0,40363.0,1,18594.0,1
13324,20.0,15280.0,0,27777.0,1
172724,28.0,2605.0,1,24990.0,1
207660,19.0,37306.0,0,26175.0,1
33819,18.0,20969.0,0,34974.0,1
19668,20.0,38557.0,0,29968.0,1
111358,19.0,8388.0,0,35295.0,1
109003,28.0,39837.0,1,14995.0,1
276013,28.0,17835.0,1,17500.0,1
18391,28.0,38325.0,1,18628.0,1
79140,26.0,23197.0,0,24788.0,1
50892,28.0,36456.0,1,19900.0,1
64522,20.0,10303.0,0,42995.0,1
169451,29.0,26160.0,1,14752.0,1
45628,12.0,42884.0,0,17490.0,1
249812,25.0,33751.0,0,19598.0,1
222327,19.0,2291.0,0,40999.0,1
255792,26.0,22195.0,1,21777.0,1
238871,29.0,14.0,0,41085.0,1
158283,28.0,28570.0,1,20988.0,1
280469,19.0,9777.0,0,41990.0,1
120189,28.0,32779.0,1,13695.0,1
7610,29.0,8.0,1,21795.0,1
72989,21.0,5751.0,1,23999.0,1
227748,21.0,35328.0,0,33700.0,1
259783,28.0,41490.0,1,16899.0,1
9501,18.0,29271.0,0,36496.0,1
165045,27.0,15061.0,0,20499.0,1
241020,15.0,36683.0,0,30999.0,1
26369,31.0,33335.0,0,17494.0,1
209106,28.0,25417.0,1,21991.0,1
23463,31.0,47426.0,1,12990.0,1
225526,54.0,27294.0,1,20800.0,1
126196,17.0,38046.0,0,30334.0,1
195389,15.0,22246.0,0,30600.0,1
154080,22.0,32495.0,1,31999.0,1
270484,28.0,10465.0,1,15381.0,1
29082,21.0,23428.0,0,30995.0,1
54904,20.0,25152.0,1,21990.0,1
32956,27.0,6872.0,0,22899.0,1
169803,19.0,13.0,0,37817.0,1
47261,28.0,35324.0,1,19988.0,1
232135,17.0,37820.0,0,33990.0,1
239393,28.0,4367.0,1,16799.0,1
207489,25.0,90.0,0,36611.0,1
280,24.0,15362.0,1,28895.0,1
200512,21.0,27167.0,0,21550.0,1
40085,17.0,38591.0,0,19500.0,1
217362,25.0,25496.0,0,31000.0,1
205728,21.0,11290.0,0,33855.0,1
139753,28.0,9211.0,1,24992.0,1
242564,28.0,33112.0,1,19390.0,1
179507,22.0,34100.0,0,20995.0,1
22889,28.0,2499.0,1,15774.0,1
280754,20.0,24269.0,0,27944.0,1
174543,18.0,26.0,0,45920.0,1
18542,13.0,10585.0,0,43600.0,1
247851,13.0,30846.0,0,43995.0,1
281496,19.0,13730.0,0,26500.0,1
54109,16.0,7844.0,0,39500.0,1
20264,32.0,3900.0,1,19981.0,1
168796,28.0,40122.0,1,16990.0,1
205932,17.0,38654.0,0,26800.0,1
60871,18.0,0.0,0,48046.0,1
2781,13.0,0.0,0,44536.0,1
268022,15.0,24528.0,0,45490.0,1
79045,28.0,37255.0,1,19310.0,1
191991,28.0,38539.0,1,22900.0,1
202353,20.0,33358.0,0,29485.0,1
11226,25.0,17438.0,0,31494.0,1
168939,15.0,21659.0,0,39975.0,1
134260,28.0,45985.0,1,17388.0,1
212819,21.0,19283.0,0,16999.0,1
274319,25.0,40855.0,0,14598.0,1
30264,26.0,12563.0,0,24696.0,1
194696,54.0,32335.0,1,20664.0,1
128419,28.0,45661.0,1,21000.0,1
140733,18.0,20102.0,0,30491.0,1
72532,28.0,5068.0,1,21881.0,1
4346,31.0,13036.0,1,16995.0,1
24212,28.0,16800.0,1,23985.0,1
261977,19.0,11546.0,0,28975.0,1
21303,16.0,37253.0,0,42999.0,1
132268,26.0,30853.0,0,25336.0,1
90073,29.0,31594.0,1,16000.0,1
104637,19.0,43880.0,0,33900.0,1
94475,32.0,32578.0,1,14500.0,1
86039,28.0,41164.0,1,16875.0,1
169638,28.0,13435.0,1,15992.0,1
240722,20.0,31586.0,0,31980.0,1
178498,28.0,33440.0,1,24988.0,1
177144,25.0,16138.0,0,28915.0,1
52008,28.0,29255.0,1,19592.0,1
96528,28.0,22515.0,1,14792.0,1
8184,19.0,29387.0,0,25399.0,1
32183,28.0,4579.0,1,23488.0,1
226297,28.0,17739.0,1,22880.0,1
81712,28.0,28264.0,1,21499.0,1
26369,31.0,33335.0,0,17494.0,1
243307,28.0,34348.0,1,16489.0,1
244627,28.0,37821.0,1,17810.0,1
72800,26.0,19576.0,0,29899.0,1
254624,17.0,37885.0,0,19508.0,1
12615,28.0,19509.0,1,18597.0,1
113511,28.0,33508.0,1,23204.0,1
110400,28.0,39685.0,1,18777.0,1
48910,28.0,34961.0,1,16603.0,1
93048,25.0,25933.0,0,24985.0,1
132749,26.0,35180.0,0,21995.0,1
18914,25.0,24836.0,1,18900.0,1
225687,20.0,10452.0,0,30500.0,1
136515,19.0,34573.0,0,29491.0,1
173466,26.0,24533.0,1,15500.0,1
231969,22.0,8891.0,0,20420.0,1
177165,17.0,30118.0,0,53598.0,1
69761,28.0,33916.0,1,16980.0,1
233369,22.0,36945.0,0,21550.0,1
118927,28.0,40302.0,1,14996.0,1
212356,28.0,30623.0,1,18989.0,1
135840,28.0,44538.0,1,16990.0,1
255798,22.0,14754.0,0,21991.0,1
1855,28.0,31301.0,1,21299.0,1
4689,26.0,38781.0,0,19499.0,1
199619,24.0,38801.0,1,13199.0,1
113831,28.0,47032.0,1,16262.0,1
284493,25.0,39499.0,0,27491.0,1
266613,28.0,12426.0,1,17594.0,1
179507,22.0,34100.0,0,20995.0,1
15676,28.0,41531.0,1,18998.0,1
2745,25.0,51192.0,0,16591.0,1
176051,28.0,34027.0,1,12844.0,1
277372,28.0,35037.0,1,16900.0,1
280678,25.0,32312.0,0,15755.0,1
188918,28.0,26623.0,1,19595.0,1
56828,31.0,10860.0,0,49000.0,1
272956,26.0,27272.0,0,23195.0,1
156188,13.0,22791.0,0,38499.0,1
137004,43.0,27692.0,1,16511.0,1
8733,15.0,8600.0,0,40000.0,1
2745,25.0,51192.0,0,16591.0,1
60542,25.0,35103.0,0,14486.0,1
89313,28.0,16313.0,1,18598.0,1
231796,19.0,6112.0,0,27491.0,1
38829,28.0,18740.0,1,27995.0,1
277580,28.0,32582.0,1,22985.0,1
176424,19.0,34351.0,0,30488.0,1
262508,22.0,14499.0,0,23865.0,1
249358,12.0,38133.0,0,18293.0,1
221549,28.0,40120.0,1,23143.0,1
139026,22.0,31750.0,1,28699.0,1
106925,18.0,44071.0,0,33999.0,1
260284,28.0,21672.0,1,23000.0,1
178622,19.0,44277.0,0,35000.0,1
44785,28.0,35068.0,1,17295.0,1
57813,18.0,33426.0,0,35350.0,1
263989,28.0,36102.0,1,19988.0,1
151278,17.0,33251.0,0,15685.0,1
184855,54.0,20294.0,1,20337.0,1
244304,23.0,33608.0,1,17332.0,1
127311,28.0,12813.0,1,21311.0,1
267534,19.0,5.0,0,43312.0,1
241288,27.0,32.0,0,29135.0,1
184780,25.0,26027.0,0,29545.0,1
338,19.0,12087.0,1,29000.0,1
120281,26.0,15109.0,0,28000.0,1
35421,31.0,35115.0,1,12799.0,1
113785,26.0,10000.0,0,25311.0,1
117488,54.0,13791.0,1,23405.0,1
71458,19.0,14290.0,0,38500.0,1
36584,19.0,21979.0,0,36344.0,1
192695,21.0,33804.0,0,26995.0,1
10708,28.0,39248.0,1,16981.0,1
104147,28.0,26232.0,1,25991.0,1
33540,28.0,37128.0,1,18987.0,1
54530,18.0,14417.0,0,27891.0,1
128673,28.0,14082.0,1,16491.0,1
3164,28.0,32650.0,1,16998.0,1
114589,28.0,32648.0,1,22491.0,1
65126,18.0,14756.0,0,31481.0,1
139685,19.0,0.0,0,42670.0,1
152535,28.0,19958.0,1,24995.0,1
58571,32.0,18048.0,1,19500.0,1
128673,28.0,14082.0,1,16491.0,1
9003,19.0,31100.0,0,33998.0,1
144235,18.0,25166.0,0,38900.0,1
92201,25.0,8528.0,0,25994.0,1
100463,26.0,21014.0,0,26420.0,1
89740,28.0,33108.0,1,16298.0,1
39021,25.0,19106.0,0,26451.0,1
203201,19.0,24853.0,0,30992.0,1
137828,21.0,17955.0,0,22037.0,1
160040,55.0,18376.0,1,24991.0,1
66566,26.0,27870.0,1,14897.0,1
31216,41.0,36856.0,0,32985.0,1
12202,32.0,7590.0,1,19443.0,1
35663,17.0,29125.0,0,33991.0,1
