,city_fuel_economy,mileage,passenger_car,price,franchise_make
0,16.0,0.0,1,95595.0,0
1,16.0,34028.0,0,21700.0,1
2,13.0,0.0,0,44536.0,1
3,13.0,26.0,1,173035.0,0
4,28.0,45661.0,1,21000.0,1
5,25.0,2616.0,0,24998.0,0
6,28.0,36694.0,1,19409.0,1
7,21.0,9070.0,1,38888.0,0
8,17.0,12401.0,1,49888.0,0
9,19.0,34141.0,0,25505.0,0
10,24.0,15362.0,1,28895.0,1
11,15.0,3525.0,1,43991.0,0
12,16.0,38283.0,0,42500.0,0
13,20.0,19549.0,0,62950.0,0
14,24.0,22057.0,1,35800.0,0
15,16.0,33.0,1,77000.0,0
16,17.0,7998.0,1,49888.0,0
17,17.0,75.0,1,59900.0,0
18,19.0,8388.0,0,35295.0,1
19,20.0,25744.0,0,34988.0,1
20,13.0,34.0,1,179142.0,0
21,24.0,9918.0,1,43995.0,0
22,28.0,16313.0,1,18598.0,1
23,23.0,1782.0,1,34000.0,0
24,13.0,37.0,1,167177.0,0
25,21.0,5340.0,1,134998.0,0
26,19.0,17593.0,1,69999.0,0
27,21.0,16366.0,1,47900.0,0
28,28.0,40120.0,1,23143.0,1
29,26.0,8107.0,0,26998.0,0
30,23.0,14948.0,1,28997.0,0
31,21.0,13509.0,0,37688.0,0
32,26.0,21772.0,1,16888.0,1
33,28.0,33108.0,1,16298.0,1
34,28.0,30299.0,1,15998.0,1
35,23.0,10894.0,1,32754.0,0
36,17.0,38046.0,0,30334.0,1
37,28.0,38.0,1,25554.0,1
38,28.0,19958.0,1,24995.0,1
39,28.0,32648.0,1,22491.0,1
40,13.0,52.0,1,158900.0,0
41,15.0,12045.0,0,57880.0,0
42,28.0,39925.0,1,18497.0,0
43,25.0,90.0,0,36611.0,1
44,16.0,47.0,1,77967.0,0
45,13.0,37.0,1,167177.0,0
46,28.0,26623.0,1,19595.0,1
47,28.0,41164.0,1,16875.0,1
48,18.0,3000.0,1,145000.0,0
49,19.0,0.0,0,42670.0,1
50,15.0,34313.0,0,41998.0,0
51,24.0,30695.0,0,21988.0,1
52,14.0,3034.0,0,99995.0,0
53,13.0,40.0,1,160240.0,0
54,66.0,10946.0,1,43000.0,0
55,28.0,32779.0,1,13695.0,1
56,26.0,35925.0,1,15985.0,1
57,17.0,8551.0,1,87895.0,0
58,18.0,1106.0,1,134900.0,0
59,28.0,33112.0,1,19390.0,1
60,14.0,3116.0,0,103000.0,0
61,21.0,40363.0,1,18594.0,1
62,17.0,40243.0,0,29680.0,1
63,19.0,43880.0,0,33900.0,1
64,16.0,10326.0,1,44888.0,0
65,17.0,49067.0,0,14494.0,1
66,16.0,8947.0,1,61455.0,0
67,21.0,9070.0,1,38888.0,0
68,23.0,1782.0,1,34000.0,0
69,17.0,28411.0,0,41999.0,1
70,17.0,32723.0,0,43999.0,1
71,15.0,33.0,0,67509.0,0
72,28.0,12813.0,1,21311.0,1
73,26.0,38781.0,0,19499.0,1
74,28.0,21950.0,1,21990.0,1
75,28.0,36345.0,1,22858.0,1
76,14.0,10173.0,0,75998.0,0
77,28.0,40091.0,1,18777.0,1
78,54.0,27294.0,1,20800.0,1
79,28.0,39248.0,1,16981.0,1
80,15.0,12.0,0,74500.0,0
81,15.0,54609.0,0,40998.0,0
82,25.0,25496.0,0,31000.0,1
83,14.0,10.0,0,140514.0,0
84,17.0,32676.0,0,36993.0,1
85,18.0,9952.0,1,57900.0,0
86,25.0,31615.0,0,14087.0,1
87,26.0,36780.0,0,18998.0,0
88,28.0,4367.0,1,16799.0,1
89,15.0,40709.0,0,43600.0,1
90,17.0,9163.0,1,52881.0,0
91,27.0,6872.0,0,22899.0,1
92,24.0,0.0,1,35790.0,0
93,14.0,10.0,0,139484.0,0
94,17.0,8892.0,1,89900.0,0
95,28.0,25417.0,1,21991.0,1
96,16.0,8947.0,1,61455.0,0
97,28.0,37743.0,1,19492.0,1
98,13.0,0.0,1,129500.0,0
99,19.0,2291.0,0,40999.0,1
100,25.0,33110.0,1,16998.0,1
101,26.0,12405.0,0,29500.0,1
102,14.0,10.0,0,140474.0,0
103,13.0,44.0,1,174465.0,0
104,15.0,18596.0,0,53995.0,0
105,17.0,10.0,1,57985.0,0
106,22.0,11939.0,0,26980.0,1
107,28.0,14082.0,1,16491.0,1
108,28.0,32351.0,1,16399.0,1
109,19.0,5.0,0,43312.0,1
110,20.0,33358.0,0,29485.0,1
111,16.0,45.0,1,94925.0,0
112,19.0,15.0,0,51074.0,1
113,17.0,44062.0,0,17495.0,1
114,17.0,31263.0,0,20988.0,0
115,24.0,11920.0,0,39998.0,0
116,16.0,74.0,1,86000.0,0
117,22.0,34087.0,0,15611.0,1
118,28.0,2499.0,1,15774.0,1
119,28.0,29651.0,1,15680.0,1
120,28.0,38513.0,1,22940.0,1
121,15.0,44.0,0,74999.0,0
122,14.0,25.0,0,122755.0,0
123,20.0,24729.0,0,65950.0,0
124,26.0,10000.0,0,25311.0,1
125,29.0,34757.0,1,15197.0,1
126,26.0,9257.0,0,30985.0,0
127,17.0,24829.0,0,83450.0,0
128,17.0,1851.0,1,59997.0,0
129,28.0,33508.0,1,23204.0,1
130,15.0,8278.0,0,63985.0,0
131,18.0,23134.0,0,38997.0,1
132,21.0,27167.0,0,21550.0,1
133,28.0,10887.0,1,24127.0,1
134,19.0,39296.0,0,30800.0,0
135,18.0,12490.0,0,38998.0,0
136,28.0,33916.0,1,16980.0,1
137,28.0,37821.0,1,17810.0,1
138,28.0,14082.0,1,16491.0,1
139,29.0,8.0,1,21795.0,1
140,13.0,35.0,1,179142.0,0
141,21.0,16366.0,1,47900.0,0
142,16.0,1587.0,1,62915.0,0
143,17.0,3327.0,1,74795.0,0
144,29.0,40734.0,1,14295.0,1
145,14.0,18943.0,0,59995.0,0
146,27.0,15061.0,0,20499.0,1
147,16.0,26.0,1,90985.0,0
148,17.0,10.0,1,70745.0,0
149,31.0,35927.0,1,12599.0,1
150,28.0,15145.0,1,28500.0,1
151,26.0,32597.0,0,19491.0,1
152,14.0,78.0,0,171475.0,0
153,21.0,4016.0,0,18795.0,1
154,28.0,13527.0,1,17995.0,1
155,13.0,30846.0,0,43995.0,1
156,17.0,38842.0,0,19990.0,1
157,15.0,54609.0,0,40998.0,0
158,25.0,39499.0,0,27491.0,1
159,28.0,10465.0,1,15381.0,1
160,16.0,14962.0,1,54950.0,0
161,31.0,33335.0,0,17494.0,1
162,28.0,36456.0,1,19900.0,1
163,21.0,23428.0,0,30995.0,1
164,28.0,37758.0,1,21981.0,1
165,32.0,7590.0,1,19443.0,1
166,25.0,35216.0,0,14997.0,1
167,19.0,12087.0,1,29000.0,1
168,17.0,37885.0,0,19508.0,1
169,18.0,14756.0,0,31481.0,1
170,25.0,32312.0,0,15755.0,1
171,28.0,35037.0,1,16900.0,1
172,25.0,2015.0,0,31700.0,1
173,24.0,47705.0,1,14887.0,1
174,22.0,17580.0,0,35800.0,0
175,13.0,15.0,1,155991.0,0
176,28.0,19509.0,1,18597.0,1
177,28.0,40015.0,1,12989.0,0
178,24.0,5011.0,0,20995.0,1
179,19.0,495.0,1,195500.0,0
180,24.0,14110.0,1,37800.0,0
181,32.0,127.0,1,24318.0,1
182,28.0,30899.0,1,23887.0,1
183,19.0,13.0,0,37817.0,1
184,28.0,30646.0,1,17489.0,1
185,25.0,8528.0,0,25994.0,1
186,26.0,24533.0,1,15500.0,1
187,16.0,4464.0,1,85900.0,0
188,14.0,10.0,0,139484.0,0
189,28.0,34348.0,1,16489.0,1
190,26.0,38109.0,0,20000.0,1
191,14.0,0.0,0,130635.0,0
192,17.0,15.0,1,88205.0,0
193,19.0,2815.0,1,194900.0,0
194,28.0,17835.0,1,17500.0,1
195,12.0,8980.0,0,334900.0,0
196,54.0,32335.0,1,20664.0,1
197,18.0,35899.0,0,26997.0,1
198,21.0,5751.0,1,23999.0,1
199,16.0,6686.0,1,86445.0,0
200,25.0,1577.0,1,18388.0,1
201,14.0,10.0,0,139484.0,0
202,21.0,16366.0,1,47900.0,0
